sira	karakter	saniye	kar_sn	metin
183	85	5.120	16.60	Their lives were harder, poorer, shorter; but they did not t
184	122	6.880	17.73	Tolstoy read this not as superiority of intellect but as a b
185	90	4.480	20.09	The burden itself was concrete enough to drown out the quest
186	177	9.280	19.07	This does not mean "stop thinking and get to work." But it d
187	49	3.040	16.12	shaped by the responsibilities a person takes on.
188	104	6.560	15.85	Al-Ghazali left his chair and came back to the same chair el
189	78	4.000	19.50	Camus chose to keep pushing the rock in a world that offered
190	104	5.760	18.06	Tolstoy silenced his question not by solving it but by bindi
191	72	3.840	18.75	The place all three arrived at was not a laboratory but an o
192	121	6.720	18.01	And here is where the most annoying feature of the feeling o
193	85	4.640	18.32	What makes a person's life meaningful is most often too smal
194	61	3.840	15.89	Getting up in the morning and doing your work genuinely well
195	53	3.680	14.40	Being present beside someone you are responsible for.
196	49	3.200	15.31	Calling the parent you have not called in months.
197	90	5.600	16.07	Standing in front of a student, an apprentice, a child, and 
198	43	2.560	16.80	Taking on a task in your own neighbourhood.
199	131	6.240	20.99	None of this looks like "the meaning of life," because we as
200	208	12.160	17.11	Yet the shared discovery of the man who hid the cord, the ma
201	103	5.920	17.40	So the answer to "everything is fine, why does it feel empty
202	45	2.720	16.54	Perhaps the question is put together wrongly.
203	51	2.880	17.71	The things that are fine are the things we possess.
204	101	5.760	17.53	The empty place is the place of what we give, what we take o
205	63	4.000	15.75	However long the first list grows, it does not fill the seco
206	91	4.800	18.96	And the second is filled not by searching, but by getting un
207	50	3.200	15.62	Nöron Philosophy'de bugünkü bölümün sonuna geldik.
208	41	2.880	14.24	Yeni bir hikâyede yeniden buluşmak üzere.
