sira	karakter	saniye	kar_sn	metin
36	31	2.080	14.90	Brezilya notayı ciddiye almadı.
37	87	5.280	16.48	on iki Ekim bin sekiz yüz altmış dörtte Brezilya birlikleri 
38	57	3.680	15.49	Asunsiyon'da bir sınır çizilmişti ve o sınır çiğnenmişti.
39	31	2.560	12.11	Şimdi sıra, o sözü tutmaktaydı.
40	114	6.880	16.57	on bir Kasım bin sekiz yüz altmış dört sabahı Asunsiyon rıht
41	70	4.480	15.62	Adı Markes de Olinda'ydı; bundan sonra kısaca Olinda vapuru 
42	94	5.920	15.88	Paraguay Nehri boyunca kuzeye, Brezilya'nın iç kesimlerindek
43	120	8.960	13.39	Güvertesinde posta, hazine parası, resmî evrak ve eyaletin y
44	85	5.440	15.62	Gemi Asunsiyon'da yakıt ve erzak almış, Paraguay makamları h
45	151	9.760	15.47	Vali, görevine gitmek üzere yola çıkmış bir devlet memuruydu
46	115	7.200	15.97	Ertesi gün, on iki Kasım'da, Olinda vapuru nehrin yukarı kes
47	53	3.680	14.40	Geminin adı Takuari'ydi, Türkçe söyleyişiyle Takuari.
48	25	1.920	13.02	Karşı koyma imkânı yoktu.
49	90	6.080	14.80	Olinda vapuruna el kondu, mürettebatı ve yolcuları tutukland
50	42	3.200	13.12	Karneyro de Kampos esaretten sağ çıkamadı.
51	181	11.840	15.29	Solano Lopez bu kararı verirken hâlâ bir müzakere kapısının 
52	82	5.440	15.07	Ama nehirde bir gemiye el koymak, mesaj göndermenin en yanlı
53	53	4.000	13.25	Riyo dö Janeyro bunu tek bir şey olarak okudu: savaş.
54	84	5.440	15.44	Aralık bin sekiz yüz altmış dörtte Paraguay birlikleri kuzey
55	50	3.840	13.02	Koimbra Kalesi kuşatıldı, ardından Korumba alındı.
56	76	5.120	14.84	Askerî olarak bu harekât başarılıydı; stratejik olarak nered
57	114	7.360	15.49	Alınan yerler seyrek nüfuslu, ulaşımı zor, Brezilya'nın can 
58	29	2.240	12.95	Brezilya oradan vurulmuyordu.
59	100	6.400	15.62	Savaşın gerçek cephesi güneydeydi ve güneye ulaşmak için Arj
60	32	2.080	15.38	Solano Lopez tam da bunu istedi.
61	204	12.640	16.14	bin sekiz yüz altmış beş başında Arjantin Devlet Başkanı Bar
62	15	1.280	11.72	Mitre reddetti.
63	171	11.360	15.05	Bunun üzerine on üç Nisan bin sekiz yüz altmış beşte Paragua
64	76	4.960	15.32	Böylece Paraguay, tek bir hamleyle Brezilya'nın yanına Arjan
65	73	5.280	13.83	Kıtanın en kalabalık iki ülkesi, aynı anda ve aynı cephede k
66	147	10.560	13.92	bir Mayıs bin sekiz yüz altmış beşte Buenos Ayres'te Brezily
67	174	10.720	16.23	Metnin gizli maddeleri savaş bittiğinde ortaya çıkınca Latin
68	124	8.160	15.20	ülkeye savaş tazminatı yüklüyor ve savaşın ancak Solano Lope
69	93	6.080	15.30	Bu son madde önemlidir, çünkü savaşın müzakereyle bitmesini 
70	42	3.040	13.82	Ve sonra Paraguay nefes borusunu kaybetti.
71	179	11.840	15.12	on bir Haziran bin sekiz yüz altmış beşte Parana Nehri üzeri
72	78	4.960	15.73	Çarpışma günün büyük bölümünü aldı ve sonunda Paraguay filos
73	39	2.720	14.34	O günden sonra nehirler Brezilya'nındı.
74	52	4.160	12.50	Silah gelemezdi, ilaç gelemezdi, mühendis gelemezdi.
75	125	8.160	15.32	Eylül bin sekiz yüz altmış beşte Uruguayana'da kuşatılan bir
76	62	3.840	16.15	Paraguay artık savaşı kazanmaya değil, sürdürmeye çalışacakt
77	104	6.720	15.48	bin sekiz yüz altmış altı baharında müttefik ordusu Parana'y
78	214	13.600	15.74	Karşılarındaki arazi, savaş tarihinde ender rastlanan türden
79	36	2.400	15.00	Buna yerel dilde "estero" deniyordu.
80	89	5.600	15.89	Ordular birbirini görebiliyor ama birbirine ancak belirli bi
81	59	4.160	14.18	Bu, savunan taraf için hediye, saldıran taraf için tuzaktı.
82	89	6.240	14.26	iki Mayıs'ta Estero Beyako'da yapılan ilk büyük çarpışma bun
83	38	2.720	13.97	Solano Lopez yine de saldırmayı seçti.
84	179	11.040	16.21	yirmi dört Mayıs bin sekiz yüz altmış altı sabahı, Tuyuti ad
85	143	9.440	15.15	Plan kâğıt üzerinde cesurdu: kollar bataklığı farklı noktala
86	138	9.600	14.38	Ama eşzamanlılık, telgrafın olmadığı, arazinin görüşü kestiğ
87	60	4.320	13.89	Kollar dağınık saatlerde ve dağınık noktalarda ortaya çıktı.
88	20	1.440	13.89	Müttefikler hazırdı.
89	107	6.720	15.92	Toprak siperlerin ardında sıralanmış topçu, bataklığı geçmek
90	100	6.560	15.24	Paraguaylı askerler dizlerine kadar çamurda, tek sıra hâlind
91	73	4.960	14.72	Süvari, atların batmadığı birkaç sert şerit dışında hiçbir y
92	170	10.400	16.35	Kimi noktalarda Paraguay birlikleri siperlere ulaşıp göğüs g
93	40	2.720	14.71	Öğleden sonra saldırı bütünüyle kırıldı.
94	98	6.240	15.71	Geri çekilen birlikler, sabah geçtikleri aynı çamurdan bu ke
95	79	5.440	14.52	Rakamlar, Güney Amerika tarihinin bilinen en kanlı meydan mu
96	103	6.080	16.94	Yaklaşık yirmi dört bin kişilik Paraguay ordusu, otuz iki bi
97	81	5.600	14.46	Paraguay'ın kaybı on üç bin dolayındadır: yaklaşık altı bin 
98	121	7.680	15.76	Müttefiklerin kaybı dört binin biraz üzerindeydi; bunun doku
99	114	7.200	15.83	Tek bir günde Paraguay ordusunun yarısına yakını savaş dışı 
100	66	4.160	15.87	Aynı yılın yirmi iki Eylül'ünde Kurupayti mevzilerinde tersi
101	161	9.920	16.23	Müttefikler bu kez iyi hazırlanmış Paraguay siperlerine ceph
102	45	3.200	14.06	Asunsiyon'da çanlar çaldı, zafer ilan edildi.
103	56	3.840	14.58	Ama Kurupayti bir dönüm noktası değil, bir yanılsamaydı.
104	59	3.520	16.76	Müttefikler o kayıpları birkaç ay içinde telafi edebilirdi.
105	57	4.320	13.19	Paraguay, Tuyuti'de kaybettiklerini asla telafi edemezdi.
106	28	1.920	14.58	Bundan sonrası aritmetiktir.
107	142	10.240	13.87	Brezilya, ordusuna "vatan gönüllüleri" adıyla yeni kıtalar y
108	45	3.040	14.80	Paraguay ise sırayla yaş sınırlarını indirdi.
109	126	7.840	16.07	bin sekiz yüz altmış yedide her iki orduyu da kolera vurdu; 
110	151	10.560	14.30	Aynı yıllarda Solano Lopez, ordusu içinde bir ihanet ağı old
111	106	7.520	14.10	dışişleri bakanı ve Asunsiyon piskoposu da dahil olmak üzere
112	79	5.440	14.52	Ordunun deneyimli kadrosu, düşman kadar kendi karargâhı tara
113	83	5.440	15.26	Temmuz bin sekiz yüz altmış sekizde yıllardır kuşatılan Huma
114	97	6.720	14.43	Aralık ayında Avay'da ve ardından Lomas Valentinas'ta Paragu
115	94	5.760	16.32	bin sekiz yüz altmış dokuzun ilk günlerinde müttefik birlikl
116	50	3.680	13.59	Başkent alınmıştı, ordu yoktu, hükümet dağılmıştı.
117	31	2.400	12.92	Her ölçüte göre savaş bitmişti.
118	8	0.800	10.00	Bitmedi.
119	117	7.840	14.92	Solano Lopez, kalanlarla birlikte kuzeydoğudaki tepelere çek
120	39	2.880	13.54	Orada yeniden bir ordu kurmaya girişti.
121	43	2.720	15.81	Ama kurulacak ordunun malzemesi kalmamıştı.
122	94	5.920	15.88	Yetişkin erkeklerin büyük bölümü ölmüş, esir düşmüş ya da ya
123	90	5.920	15.20	Geriye kalanlar askere alındı: altmışını geçmiş adamlar, sak
124	88	6.240	14.10	Kayıtlarda on iki yaşında, on yaşında, kimi anlatılarda doku
125	102	6.560	15.55	Bunlara giydirilecek üniforma da yoktu; çoğu yalınayak, sırt
126	59	3.680	16.03	Ordunun arkasında, yollarda, bir başka kalabalık yürüyordu.
127	174	11.360	15.32	Bunlara sonradan "residenta" denecekti: cepheyi izleyen, ökü
128	97	6.400	15.16	Yiyecekleri erimişti; portakal kabuğu, kök ve bulabildikleri
129	85	5.280	16.10	Askerî bir birlik değildiler ve tam da bu yüzden savaşın en 
130	77	5.600	13.75	on iki Ağustos bin sekiz yüz altmış dokuzda müttefikler Piri
131	101	6.560	15.40	Kasaba, çoğu kadın ve çocuk olan bir kuvvetle, kum ve şişe k
132	25	1.760	14.20	Birkaç saat içinde düştü.
133	160	10.400	15.38	Çarpışmanın vahşeti, o gün orada bulunan çeşitli tanıkların 
134	126	7.840	16.07	Piribebuy'un düşmesi, Solano Lopez'in ve peşindeki sivil kol
135	76	4.640	16.38	O kolonun kaçabilmesi için birinin arkada kalıp zaman kazanm
136	48	3.520	13.64	Bu görev Komutan Bernardino Kabayero'ya verildi.
137	202	12.960	15.59	on altı Ağustos bin sekiz yüz altmış dokuz sabahı, Akosta Ny
138	36	2.240	16.07	Bu kuvvetin büyük çoğunluğu çocuktu.
139	145	9.600	15.10	Karşısında, Brezilya İmparatoru'nun damadı Gaston Dorleyan k
140	160	10.720	14.93	Ve o sabah, savaş tarihinin en acı ayrıntılarından biri yaşa
141	64	4.000	16.00	Kimi anlatılarda bunlar yün ve kıldan yapılmış takma sakalla
142	89	5.760	15.45	İkisi de aynı şeyi anlatır: bir ordunun, askerlerinin çocuk 
143	26	2.240	11.61	Çarpışma sekiz saat sürdü.
144	54	4.160	12.98	Ova düzdü; saklanacak bataklık, sığınacak siper yoktu.
145	52	3.520	14.77	Süvari hücumları ovayı defalarca boydan boya taradı.
146	101	6.720	15.03	Çocuklar tahmin edilenden çok daha uzun dayandı, geri çekilm
147	49	3.520	13.92	Gün sonunda ovada iki bin dolayında ölü kalmıştı.
148	142	9.920	14.31	Ardından olanlar, savaşın Paraguay belleğine kazınan asıl ya
149	73	4.800	15.21	Bu emrin kimden çıktığı, hangi ölçüde kasıtlı olduğu bugün d
150	123	8.480	14.50	Gerçek olan şu ki Kabayero görevini yerine getirdi; koloni k
151	68	4.320	15.74	Bu ovada iki ayrı sorumluluk kesişir ve ikisini de söylemek 
152	84	5.440	15.44	O çocukları saf tutmaya mecbur bırakan, savaşı sürdürmekte ı
153	114	7.360	15.49	O çocukların üzerine yirmi bin kişilik bir orduyu süren ise,
154	59	3.680	16.03	Paraguay bugün on altı Ağustos'u Çocuk Bayramı olarak anar.
155	125	7.840	15.94	Ülkenin çocuklara ayırdığı gün, bir doğum ya da bir kuruluş 
156	46	3.360	13.69	Kovalamaca kuzeydeki ormanlarda yedi ay sürdü.
157	188	11.840	15.88	Yanındakiler birer birer eriyerek ilerleyen kafile, bin seki
158	91	5.920	15.37	Komutan Joze Antonyo Korreya da Kamara komutasındaki Brezily
159	170	11.040	15.40	Solano Lopez mızrakla yaralandı, ata binemeyecek hâlde derey
160	16	1.280	12.50	Orada öldürüldü.
161	83	5.600	14.82	Aynı gün on beş yaşındaki oğlu Huan Fransisko da, teslim olm
162	70	4.800	14.58	Elisa Lynch, oğlunu ve Solano Lopez'i o toprağa kendi elleri
163	52	3.520	14.77	Savaş, başladığından beş yıl dört ay sonra bitmişti.
164	18	1.920	9.38	Sonra sayım geldi.
165	101	6.240	16.19	bin sekiz yüz yetmiş birde yapılan nüfus sayımı ülkede iki y
166	198	12.480	15.87	Bu sayının dağılımı, rakamın kendisinden daha çok şey anlatı
167	119	7.200	16.53	Bir nüfusun cinsiyet dengesi böyle bozulduğunda ortaya çıkan
168	56	4.320	12.96	Tarla süren, ev kuran, evlenen, vergi veren kuşak yoktu.
169	34	2.560	13.28	Peki savaştan önce kaç kişiydiler?
170	121	7.520	16.09	İşte bu bölümün başlığındaki "sayılamayan ölüler" burada dev
171	149	9.600	15.52	Uzun yıllar boyunca savaş öncesi nüfusun bir milyona yaklaşt
172	183	11.520	15.89	bin dokuz yüz seksen sekizde tarihçi Vera Blinn Reber, mevcu
173	64	4.640	13.79	bin dokuz yüz doksan dokuzda Thomas Whigham ve Barbara Potth
174	178	11.200	15.89	Aralık bin dokuz yüz seksen dokuzda Paraguay savunma bakanlı
175	215	13.920	15.45	Onların hesabına göre nüfus savaş öncesinde dört yüz yirmi b
176	54	3.360	16.07	Bu aralığın bu kadar geniş kalmasının nedeni basittir.
177	195	12.480	15.62	Paraguay'ın güvenilir bir savaş öncesi sayımı yoktu, savaş s
178	44	3.040	14.47	Bunlar kimsenin defter tutmadığı ölümlerdir.
179	83	5.440	15.26	Bir ülkenin kaç evladını kaybettiğini bilememesi, kaybın ken
180	33	2.080	15.87	Geriye kalanı da savaş belirledi.
181	150	9.600	15.62	Paraguay, tartışmalı sınır bölgelerinin büyük kısmını Brezil
182	139	9.440	14.72	Batıdaki Çako bölgesini elde tutabilmesi ise bir hakemlik ka
183	127	9.280	13.69	Arjantin ile Paraguay arasındaki anlaşmazlıkta Paraguay lehi
184	67	4.320	15.51	Brezilya birlikleri bin sekiz yüz yetmiş altıya kadar ülkede
185	200	12.480	16.03	Ve savaştan önce hiç dış borcu olmayan Paraguay, bin sekiz y
186	152	9.120	16.67	Galiplerin dayattığı savaş tazminatları ise ancak bin dokuz 
187	216	14.880	14.52	Belleğe gelince: Solano Lopez uzun süre ülkeyi uçuruma sürük
188	56	3.680	15.22	Paraguay ulusal kimliğinin kurucu anlatısı hâline geldi.
189	36	2.400	15.00	Bu tartışma ülkede bugün de sürüyor.
190	82	5.120	16.02	Ama bir toplumun neyi bayram yaptığı, kime heykel diktiğinde
191	202	13.280	15.21	Paraguay'ın takviminde Serro Kora'nın günü de var, ama okull
192	108	6.720	16.07	Yüzlerine kömürle sakal çizilmiş çocukların bir ülkeye bırak
193	45	2.880	15.62	Nöron Tarih'de bugünkü bölümün sonuna geldik.
194	41	2.560	16.02	Yeni bir hikâyede yeniden buluşmak üzere.
