sira	karakter	saniye	kar_sn	metin
83	110	7.200	15.28	Yani oyun çalışırken hiçbir üç boyutlu hesap yapmıyordu; haz
84	128	7.520	17.02	Böylece doksan megahertz'lik bir makine, aslında karşılayama
85	127	8.960	14.17	Müziği Allister Brimble yazdı; lunapark orgunu andıran o neş
86	125	7.680	16.28	Oyun yirmi iki Mart bin dokuz yüz doksan dokuzda Kuzey Ameri
87	78	5.440	14.34	Yayıncı, Hasbro'nun oyun bölümüydü; kutunun üzerinde MicroPr
88	80	4.960	16.13	Ve çıkışından haftalar sonra, tek kişilik geliştirmenin bede
89	106	6.560	16.16	Nisan bin dokuz yüz doksan dokuzda yaz saati uygulamasına ge
90	189	12.000	15.75	Sebep son derece incelikliydi: oyun kayıt verisinin zaman da
91	47	3.520	13.35	Damga tutmayınca kayıtlar geçersiz sayılıyordu.
92	63	4.160	15.14	Binlerce oyuncunun saatlerce emek verdiği parkları açılmıyor
93	146	9.280	15.73	Arayı bulacak bir hata ayıklama ekibi yoktu; sorunu bulacak,
94	14	1.280	10.94	Bulup çıkardı.
95	50	3.520	14.20	Sonrası, sayılarla anlatıldığında kolay görünüyor.
96	183	11.840	15.46	Oyun bin dokuz yüz doksan dokuz yılında yalnızca Amerika Bir
97	81	6.240	12.98	o yılın en çok kazandıran üçüncü bilgisayar oyunuydu ve yılı
98	109	7.040	15.48	Satış listelerinden yıllarca inmedi; Temmuz iki bin ikiye ge
99	66	4.800	13.75	Arkasından iki ek paket geldi, ardından iki bin ikide devam 
100	65	4.320	15.05	Sawyer devam oyununu da aynı yöntemle, yine makine diliyle y
101	80	4.960	16.13	Para tarafında ise daha sonra mahkeme belgelerinden öğrenile
102	127	7.200	17.64	Sawyer'ın oyunlarının yayıncıya getirdiği toplam gelir, o dö
103	81	4.960	16.33	Sawyer'ın bu gelirden telif olarak aldığı tutar ise yaklaşık
104	163	10.080	16.17	Bir köy evinde, tek başına, kimsenin artık kullanmadığı bir 
105	52	3.200	16.25	Ama sözleşmeyi imzaladığı şirket yerinde durmuyordu.
106	133	8.960	14.84	Hasbro'nun oyun bölümü iki bin birde Fransız şirketi Infogra
107	116	8.000	14.50	Yani telif sözleşmesinin bir tarafında hâlâ aynı adam vardı,
108	44	2.880	15.28	iki bin dörte gelindiğinde işler değişmişti.
109	112	6.560	17.07	Serinin üçüncü oyunu İngiliz stüdyosu Frontier Developments'
110	140	9.120	15.35	Aynı yıl kendi yeni oyunu çıktı ve soğuk karşılandı; eleştir
111	121	7.840	15.43	Tek başına makine diliyle rakiplerini geçen programcının çağ
112	85	5.760	14.76	Kasım iki bin beşte Sawyer, ödenmediğini düşündüğü telifler 
113	66	4.640	14.22	İddiası, dört virgül sekiz milyon dolarlık bir eksiklik oldu
114	131	8.480	15.45	Davanın merkezinde kurnaz bir hukuki ayrıntı vardı: Sawyer, 
115	107	6.400	16.72	denetçilerinin bin dokuz yüz doksan dokuz ile iki bin bir ar
116	118	7.040	16.76	Görevlendirdiği adli muhasebeciler, haksız yere alıkonulduğu
117	62	4.160	14.90	Karşı taraf iki bin yedide tazminat talebiyle karşı dava açt
118	64	4.160	15.38	İki tarafın avukatları iki yıl boyunca birbirine belge yağdı
119	29	2.240	12.95	Sonunda dava salonda bitmedi.
120	90	5.760	15.62	Şubat iki bin sekizde taraflar mahkeme dışında anlaştı; Sawy
121	44	3.520	12.50	Ne bir zafer manşeti oldu ne de bir yenilgi.
122	107	6.720	15.92	Milyonlarca insanın çocukluğunu şekillendiren bir oyunun hik
123	66	4.480	14.73	Ama kodun kendisi, kendisiyle ilgili kâğıtlardan daha uzun y
124	173	11.360	15.23	iki Nisan iki bin on dörtte Ted John adında bir programcı, t
125	20	1.600	12.50	Yöntem sabır işiydi.
126	136	8.960	15.18	Henüz çevrilmemiş her işlev için program, hâlâ özgün oyunun 
127	25	2.400	10.42	Prosedür prosedür, ay ay.
128	166	11.680	14.21	on beş Ekim iki bin on beşte iş tamamlandı ve açık kaynak sü
129	132	7.840	16.84	Bugün o kod, Sawyer'ın bin dokuz yüz doksan yedide varlığını
130	26	1.920	13.54	Burada ince bir ironi var.
131	138	9.120	15.13	Makine dili, taşınamaz olmakla ünlüdür; belirli bir işlemciy
132	54	3.680	14.67	Sawyer'ın seçimi, o günün ölçütleriyle bile riskliydi.
133	197	11.520	17.10	Oysa sonuç tersine döndü: tam da o kod öylesine sıkı ve öyle
134	210	14.080	14.91	Sawyer'ın kendisi de iki bin on altıda, Originsekiz adlı bir
135	41	3.040	13.49	Geriye kalan asıl miras ise teknik değil.
136	133	8.640	15.39	Lunapark Patronu'ndan önce yönetim oyunlarında kalabalık bir
137	49	3.520	13.92	Sawyer bunu reddetti ve her ziyaretçiye ad verdi.
138	152	9.280	16.38	Parkınızda bir şey ters gittiğinde artık soyut bir puan düşm
139	206	12.000	17.17	Bugün şehir kurma ve yönetim oyunlarının neredeyse tamamında
140	111	6.720	16.52	Bir adamın yıllarca işlemciyle kendi dilinde konuşarak kurdu
141	44	2.880	15.28	Nöron Oyun'de bugünkü bölümün sonuna geldik.
142	41	2.720	15.07	Yeni bir hikâyede yeniden buluşmak üzere.
