sira	karakter	saniye	kar_sn	metin
106	59	4.320	13.66	In silver the mass increase is not 23 percent but around 6.
107	121	6.880	17.59	The contraction is real, but it is not strong enough to drag
108	19	1.760	10.80	Silver stays white.
109	61	4.160	14.66	What is more, gold is particularly fortunate in this respect
110	156	9.440	16.53	Along the sixth row of the periodic table, the relativistic 
111	41	2.880	14.24	Chemists call that peak the gold maximum.
112	74	4.800	15.42	Gold sits at the very point where relativity is most visible
113	37	2.560	14.45	And here lies the irony of the story.
114	154	9.760	15.78	Dirac, who wrote down the relativistic equation of quantum m
115	115	7.040	16.34	in atomic and molecular structure and in ordinary chemical r
116	185	10.080	18.35	That view was generally accepted in chemistry for forty year
117	150	8.640	17.36	One of the works that really pulled the subject together was
118	92	4.960	18.55	The counter-example, meanwhile, had been sitting on people's
119	47	3.040	15.46	The same pincer explains gold's other oddities.
120	163	10.240	15.92	Because the outer electron is bound more tightly, tearing an
121	85	4.640	18.32	A metal that reluctant to give up its electron does not read
122	136	7.200	18.89	Gold's refusal to tarnish, that stubborn cleanliness which m
123	80	4.960	16.13	More surprising still, gold is willing to take an electron r
124	155	9.920	15.62	When it accepts an electron it gains 2.3 electronvolts; that
125	65	4.000	16.25	Which is to say gold can behave chemically almost like a hal
126	152	10.080	15.08	Combine it with caesium and what emerges, caesium auride, is
127	51	3.520	14.49	Inside it, gold stands as a negatively charged ion.
128	96	4.960	19.35	The only thing that makes this possible is the relativistica
129	83	6.080	13.65	And one question becomes unavoidable: if 79 protons do this,
130	68	3.680	18.48	Immediately to the right of gold on the periodic table sits 
131	160	9.120	17.54	Its nucleus holds 80 protons, and unlike gold its outer shel
132	92	4.960	18.55	Relativistic contraction pulls that pair toward the nucleus 
133	44	3.360	13.10	The result is a kind of chemical stinginess.
134	93	4.640	20.04	Mercury atoms hold their own electrons tightly and will not 
135	140	8.000	17.50	What makes metals hard and durable is that their atoms contr
136	97	5.440	17.83	The atoms cling to one another with a slackness better suite
137	113	6.240	18.11	This is why mercury melts at minus 38.8 degrees Celsius and 
138	183	11.200	16.34	A computer simulation published in 2013 tested this directly
139	152	9.120	16.67	In other words, relativity pulls mercury's melting point dow
140	97	5.600	17.32	Without relativity, mercury would be a grey metal you could 
141	147	8.960	16.41	The barometer, the old thermometers, and the whole slippery,
142	44	4.000	11.00	Let us go one row further: 82 protons, lead.
143	172	9.760	17.62	Lead's most familiar use is the battery discovered by Gaston
144	113	8.000	14.12	A lead acid cell produces about 2.1 volts; you wire 6 cells 
145	98	4.960	19.76	A cheap, reliable arrangement capable of meeting the enormou
146	149	9.600	15.52	In 2011, researchers in Sweden and Finland calculated the vo
147	24	1.760	13.64	The result was striking.
148	115	8.320	13.82	Of the 2.1 volts per cell, roughly 1.7 volts — that is, abou
149	101	5.440	18.57	Without relativity, the lead acid battery would never produc
150	201	9.760	20.59	When you turn the key on a cold winter morning and hear the 
151	92	5.600	16.43	This trail, which began with the yellow of gold, gave birth 
152	151	8.480	17.81	Relativistic quantum chemistry is a mature discipline today;
153	167	9.600	17.40	If you want to get the bond length of a molecule right, or w
154	164	8.960	18.30	At the very bottom of the table, among the artificial elemen
155	171	7.680	22.27	The prediction is that in these elements the relativistic sh
156	65	4.160	15.62	This needs underlining: it is a prediction, not a settled re
157	152	8.160	18.63	The elements in question survive in the laboratory for fract
158	50	3.040	16.45	But the real point, I think, has to do with scale.
159	74	4.320	17.13	The examples we are used to when relativity is explained are
160	65	4.320	15.05	Atomic clocks on satellites drifting by a few microseconds a
161	41	3.200	12.81	Starlight bending during a solar eclipse.
162	45	4.320	10.42	Black holes, the universe, billions of years.
163	116	6.880	16.86	All of it true, all of it measured, but none of it tangible;
164	36	2.080	17.31	The yellow of gold is not like that.
165	59	5.120	11.52	It requires no instrument, no calculation, no intermediary.
166	114	5.600	20.36	It is a colour looked at with the naked eye in broad dayligh
167	145	8.320	17.43	Human beings have been gazing at it for more than 6,000 year
168	145	8.480	17.10	The two properties that make gold precious, that warm yellow
169	92	4.640	19.83	Both are the work of electrons exceeding half the speed of l
170	146	8.960	16.29	For thousands of years humanity placed gold in temples, in g
171	195	10.880	17.92	Then, in the twentieth century, a physicist thinking about m
172	42	2.880	14.58	had long been sitting on people's fingers.
173	47	3.200	14.69	Nöron Science'de bugünkü bölümün sonuna geldik.
174	41	3.040	13.49	Yeni bir hikâyede yeniden buluşmak üzere.
