sira	karakter	saniye	kar_sn	metin
104	73	5.120	14.26	Bu tabloyu tetikleyen asıl gelişme Amerika Birleşik Devletle
105	155	9.600	16.15	Amerika'nın İran'a yönelik operasyonlarını yoğunlaştırması e
106	96	7.680	12.50	CME FedWatch, yani CME'nin faiz beklenti aracının verilerine
107	149	10.240	14.55	yani Amerikan Merkez Bankası Fed'in bu ayki toplantısında yi
108	84	5.440	15.44	Faizsiz bir varlık olan altın da bu beklentiden ve güçlü dol
109	73	5.120	14.26	Amerika'da bugün açıklanan istihdam verisi ise beklentinin a
110	173	11.840	14.61	Ağustos ayında özel sektör istihdamı otuz sekiz bin kişi art
111	56	4.480	12.50	Veri, işe alımlarda ivmenin zayıfladığına işaret ediyor.
112	97	6.880	14.10	Piyasaların asıl yön arayacağı rakam ise cuma günü açıklanac
113	46	3.200	14.38	Yurt içinde ise yoğun bir veri takvimi kapıda.
114	85	6.080	13.98	Türkiye İstatistik Kurumu yarın sabah saat onda ağustos ayı 
115	92	5.920	15.54	Ekonomistlerin aylık enflasyon beklentisi ortalama yüzde bir
116	146	10.720	13.62	Hatırlatalım, temmuzda aylık enflasyon yüzde bir virgül yetm
117	165	10.400	15.87	Merkez Bankası'nın piyasa katılımcıları anketinde yıl sonu e
118	173	12.160	14.23	Yine yarın, ağustos ayına ait geçici dış ticaret verileri Ti
119	183	12.160	15.05	Temmuz ayında ihracat yüzde iki virgül dokuz artışla yirmi b
120	113	8.800	12.84	Aynı dönemde ithalat ise yüzde beş virgül bir artışla otuz i
121	131	8.800	14.89	Ekonomi yönetiminin üç yıllık yol haritası olan Orta Vadeli 
122	185	12.320	15.02	Bu arada geçen pazartesi açıklanan büyüme verisine göre Türk
123	59	3.840	15.36	Küresel şirketler tarafından da dikkat çeken bir haber var.
124	145	10.080	14.38	Uber, organizasyon yapısını sadeleştirmek ve karar süreçleri
125	55	4.480	12.28	Bu karar dünya genelinde üç bin üç yüz kişiyi kapsıyor.
126	148	9.760	15.16	Şirketin üst yöneticisi Dara Hosrovşahi'nin çalışanlara gönd
127	75	4.960	15.12	elde edilecek tasarrufun büyüme ve yatırımlara yönlendirilec
128	49	3.520	13.92	Barış, bugünkü tabloda dikkatini en çok ne çekti?
129	154	11.200	13.75	Bence bugünün anahtar cümlesi şu: piyasalar artık jeopolitik
130	143	10.240	13.96	Normal şartlarda böyle bir gerilimde altının yukarı gitmesin
131	85	6.240	13.62	hangi faizle soğutacak" diye sordu ve cevabı Fed'in daha sık
132	91	6.400	14.22	Altındaki geri çekilme de, Borsa İstanbul'daki satış da aynı
133	121	8.320	14.54	Yurt içinde ise yarın sabah çok kritik; ağustos enflasyonu b
134	99	6.400	15.47	yukarı sapma olursa bu kez dış kaynaklı enerji baskısı yerli
135	204	13.120	15.55	Uber'in kararı da bundan bağımsız değil; şirketler yüksek fa
136	152	10.720	14.18	Türkiye gündemine geçiyoruz; siyasette hareketli bir gün yaş
137	101	6.240	16.19	Ankara'da günün en çok konuşulan başlığı YENİ Parti'nin gene
138	24	3.040	7.89	Genel Başkan Özgür Özel,
139	200	13.920	14.37	partinin kuruluşundan bu yana geçen on sekiz günde üye sayıs
140	160	11.360	14.08	Bu başlıklar demokratik bir Türkiye, adil ve özgür bir Türki
141	87	5.920	14.70	geleceği olan bir Türkiye ve kamu görevini emanet sayan bir 
142	129	8.480	15.21	Özel, konuşmasında partisinin muhalefet için değil iktidar i
143	89	5.920	15.03	Cumhuriyet Halk Partisi cephesinde ise Genel Başkan Kemal Kı
144	146	10.080	14.48	Kılıçdaroğlu, kentteki il ve ilçe örgütlenmesinin tamamlanma
145	87	6.560	13.26	akşam saatlerinde de Bostanlı'daki Suat Taşer Kongre Merkezi
146	196	12.800	15.31	Parti yönetimi bu yeni dönemi adalet, uzlaşma ve arınma başl
147	31	3.040	10.20	Hukuki tarafta ise tablo şöyle:
148	197	12.960	15.20	Ankara Bölge Adliye Mahkemesi otuz altıncı Hukuk Dairesi'nin
149	166	10.240	16.21	adli tatil nedeniyle esas inceleme eylül sonrasına kaldı ve 
150	74	5.120	14.45	Yargıda iki bin yirmi altı-iki bin yirmi yedi adli yılı da r
151	198	13.760	14.39	İstanbul Adliyesi'ndeki törende konuşan Adalet Bakanı Akın G
152	56	4.000	14.00	yolsuzluk ve terörle mücadelede kararlılık mesajı verdi.
153	156	10.720	14.55	Bakan Gürlek, bir Eylül itibarıyla Alo Adalet yüz otuz beş h
154	94	6.080	15.46	uzun süren dava ve soruşturmalara ilişkin başvuruların bu ka
155	201	12.960	15.51	Konuşmada, üzerinden yıllar geçmiş faili meçhul dosyaların g
156	66	4.960	13.31	Edirne'den gelen bir yolsuzluk iddiası da gün boyu gündemde 
157	167	11.680	14.30	Edirne Belediyesi meclis üyesi ve imar komisyonu üyesi olan 
158	173	12.000	14.42	Sürecin, müteahhidin yirmi üç Ağustos'ta Edirne Cumhuriyet B
159	112	7.200	15.56	bir Eylül'deki buluşmanın ses ve görüntü kaydına alınmasının
160	191	12.320	15.50	Şüphelinin evinde ve hukuk bürosunda yapılan aramalarda diji
161	67	4.640	14.44	Marmara Denizi'nde ise gece yarısından sonra ağır bir kaza y
162	169	12.000	14.08	Silivri'nin yaklaşık on sekiz mil açığında, saat üç on beş s
163	86	6.880	12.50	kuru yük gemisi yaklaşık on bir dakika içinde battı ve on pe
164	215	13.920	15.45	Kıyı Emniyeti, Sahil Güvenlik ve Deniz Kuvvetleri Komutanlığ
165	173	11.040	15.67	Ulaştırma ve Altyapı Bakanlığı ile İstanbul Valiliği, derinl
166	63	4.960	12.70	Ekonomi tarafında gözler yarın açıklanacak enflasyon verisin
167	212	14.400	14.72	Borsa İstanbul'da BIST yüz endeksi güne yüzde sıfır virgül y
168	194	13.600	14.26	Serbest piyasada dolar kırk sekiz virgül iki bin dokuz yüz s
169	43	3.040	14.14	gün içinde yükselen tek sektör turizm oldu.
170	161	10.720	15.02	TÜİK ağustos ayı enflasyonunu üç Eylül Perşembe saat onda aç
171	92	7.200	12.78	eylül ayı kira artış oranının ise yaklaşık yüzde otuz virgül
172	140	9.280	15.09	Merkez Bankası'nın Piyasa Katılımcıları Anketi'nde yıl sonu 
173	198	13.440	14.73	Meclis ise bir Ekim'de yeni yasama yılına başlayacak; tatil 
174	90	7.040	12.78	Barış, bugün siyasetin iki ayrı adresten iki ayrı ses verdiğ
175	154	10.240	15.04	Ben bugünün asıl hikayesini muhalefetin coğrafyasının yenide
176	156	10.720	14.55	diğer tarafta İzmir'de arınma ve uzlaşma diliyle yeniden tem
177	168	10.880	15.44	Bu tablonun nihai şeklini siyasetten çok hukukun belirleyece
178	159	10.400	15.29	kurultay sonrası alınmış bütün işlemlerin âkıbetini de bağla
179	182	12.960	14.04	Adli yıl açılışındaki mesajlar da bu tabloyla aynı çerçeveye
180	128	8.160	15.69	yerel yönetimlerdeki imar süreçlerinin denetimini önümüzdeki
181	153	10.400	14.71	Ekonomide ise siyasetin gürültüsünden bağımsız, çok daha ses
182	196	12.640	15.51	dezenflasyonun kamuoyunda hissedilen hızının hedeflenenin ge
183	106	8.160	12.99	Bir de Marmara'daki kaza var; on kişinin âkıbeti belli olana
184	125	7.520	16.62	sekiz yüz metreyi aşan derinlikte yürütülen bir arama kurtar
185	57	4.480	12.72	Sporda gün, transfer döneminin son saatlerine kilitlendi.
186	50	3.360	14.88	Fenerbahçe'de gündemin ilk sırasında Can Uzun var.
187	185	12.800	14.45	Sarı lacivertlilerin transfer direktörü Cihan Kamer, bugünkü
188	202	12.800	15.78	Basına yansıyan bilgilere göre kulüp, Ayntraht Frankfurt, ya
189	69	5.120	13.48	Akşam saatleri itibarıyla iki kulüpten de resmi bir açıklama
190	53	4.160	12.74	Galatasaray cephesinde orta saha arayışı öne çıkıyor.
191	195	12.160	16.04	Sarı kırmızılıların Real Madrid'de forma giyen Kamavinga içi
192	84	5.120	16.41	Beşiktaş'ın da orta saha için birden fazla alternatifi değer
193	122	8.640	14.12	Avrupa'da tablo şöyle: Premier Lig'de transfer dönemi bu gec
194	50	4.000	12.50	Trabzonspor'da teknik direktörlük koltuğu boşaldı.
195	83	5.600	14.82	Dün yapılan açıklamayla kulüp ve Fatih Tekke karşılıklı anla
196	114	7.360	15.49	Ayrılık, bordo mavililerin deplasmanda Amed Sportif Faaliyet
197	47	4.320	10.88	Tekke göreve Mart iki bin yirmi beşte gelmişti.
198	84	5.600	15.00	Yönetimin yeni teknik adam için birkaç ismi birlikte değerle
199	39	3.040	12.83	Süper Lig'de üçüncü hafta geride kaldı.
200	92	6.080	15.13	Galatasaray ve Gençlerbirliği yedişer puanla zirveyi paylaşı
201	73	6.080	12.01	Fenerbahçe, Beşiktaş, Kocaelispor ve Çaykur Rizespor altı pu
202	145	9.760	14.86	Bugün Süper Lig'de maç yok; Trendyol Birinci Lig'de üç karşı
203	59	4.640	12.72	Voleybolda sevindirici haber Filenin Sultanları'ndan geldi.
204	164	12.320	13.31	A millî Kadın Voleybol Takımımız, CEV iki bin yirmi altı Kad
205	73	5.920	12.33	Setler yirmi beş-on dört, yirmi beş-on altı ve yirmi beş-yir
206	89	5.760	15.45	Millilerimiz çeyrek finalde üç Eylül Perşembe günü saat yirm
207	65	5.600	11.61	Teniste ise US Open, yani Amerika Açık'ta ilk tur dün tamaml
208	130	9.280	14.01	bir numaralı seribaşı Aleksander Zverev, Lorenzo Sonego karş
209	107	7.840	13.65	Amerika Açık'ta bugün ikinci tur karşılaşmaları başladı, kor
210	45	3.200	14.06	Şimdi kültür ve sanat başlıklarına geçiyoruz.
211	77	5.760	13.37	Sinema dünyasının gözü bugün İtalya'da, Venedik açıklarındak
212	102	6.400	15.94	Seksen üçüncü Venedik Uluslararası Film Festivali bugün kapı
213	195	13.120	14.86	Açılışı Danny Boyle'un yönettiği Ink, yani Mürekkep adlı yap
214	75	4.640	16.16	Festivalin en büyük ödülü Altın Aslan için bu yıl yirmi bir 
215	78	5.280	14.77	Ana yarışmanın jürisine oyuncu ve yönetmen Maggie Gyllenhaal
216	136	8.800	15.45	George Clooney ile doksan üç yaşındaki Ellen Burstyn'e yaşam
217	128	8.480	15.09	Festivalin sanal gerçeklik ve dijital yapımlara ayrılan bölü
218	57	3.200	17.81	Yurt içinde Çanakkale Kültür Yolu Festivali devam ediyor.
219	113	7.520	15.03	Kültür ve Turizm Bakanlığı'nın düzenlediği festival yirmi do
220	191	13.120	14.56	Programda konserler, tiyatro gösterimleri, sergiler, çocuk e
221	83	5.920	14.02	katılımcılar antik kentin binlerce yıllık mirasını yerinde i
222	40	2.720	14.71	Restorasyon cephesinde de bir haber var.
223	147	10.080	14.58	Siirt'in Tillo ilçesinde bulunan İsmail Fakirullah ve İbrahi
224	159	10.720	14.83	Siirt Valiliği koordinesinde yürütülen çalışmada yapının taş
225	99	7.200	13.75	Tüm uygulamalar Kültür Varlıklarını Koruma Bölge Kurulu onay
226	57	4.160	13.70	Dünya sahnesine bakınca da hareketli bir hafta görünüyor.
227	161	12.320	13.07	Brezilya'nın Rio de Janeiro kentinde Rock in Rio, yani Rio r
228	121	8.640	14.00	Amerika Birleşik Devletleri'nin Nevada eyaletindeki Black Ro
229	102	6.560	15.55	çölün ortasında geçici olarak kurulan yerleşimde sanat yerle
230	79	6.400	12.34	Peki bu akşam ve önümüzdeki günlerde radarımızda neler var, 
231	30	2.560	11.72	İlk sırada Marmara Denizi var.
232	217	14.720	14.74	Silivri açıklarında gece yarısından sonra çarpışan iki Türk 
233	112	8.960	12.50	Deniz Kuvvetleri Komutanlığı bölgeye bir fırkateyn, iki gemi
234	83	5.920	14.02	Arama kurtarma çalışmaları gece boyunca sürecek, resmi açıkl
235	36	2.080	17.31	Yarın sabah gözler ekonomide olacak.
236	51	3.680	13.86	TÜİK, ağustos ayı enflasyonunu saat onda açıklıyor.
237	209	13.280	15.74	Piyasa anketlerinde aylık beklenti ortalaması yüzde bir virg
238	132	8.640	15.28	Aynı veri eylül ayı kira artış oranını da netleştirecek; on 
239	78	5.120	15.23	Bir hafta sonra, on Eylül'de Merkez Bankası Para Politikası 
240	136	8.800	15.45	Ağustosta toplantı yapılmadığı için politika faizinin yüzde 
241	44	3.200	13.75	Piyasalarda bugünkü tabloyu da hatırlatalım.
242	188	12.640	14.87	Borsa İstanbul güne düşüşle başladı, dolar serbest piyasada 
243	108	8.640	12.50	standart altının kilogramı ise yüzde bir virgül sekiz düşüşl
244	56	4.640	12.07	Dış politikada ABD ve İran hattı gündemin üst sırasında.
245	189	12.960	14.58	CENTCOM, yani ABD Merkez Kuvvetler Komutanlığı, Devrim Muhaf
246	81	5.600	14.46	İran tarafı ise Ürdün'deki ABD üssünü balistik füzelerle hed
247	98	6.720	14.58	Hürmüzgan'da bir düğün evine düzenlenen saldırıda iki kişi h
248	84	5.600	15.00	Gerilimin enerji fiyatlarına ve bölgesel dengelere yansıması
249	33	2.560	12.89	Nepal'den gelen haberler de ağır.
250	123	8.320	14.78	Sel felaketinde can kaybı bin yüzü aştı; ekiplerin henüz ula
251	93	7.040	13.21	Yurt içi takvimde ise şu başlıklar var: adli yıl bugün İstan
252	157	11.040	14.22	yedi ile on bir Eylül arasında okul öncesi ve ilkokul birinc
253	122	8.320	14.66	Sporda ise A millî Futbol Takımı, Uluslar Ligi'ndeki ilk sın
254	22	1.600	13.75	Gelelim hava durumuna.
255	164	10.400	15.77	Meteoroloji Genel Müdürlüğü'nün son değerlendirmelerine göre
256	161	11.040	14.58	İstanbul'da bugün gökyüzü parçalı bulutlu ve açık, yağış bek
257	143	9.440	15.15	Ankara bugün güneşli ve kuru bir gün geçiriyor, İç Anadolu g
258	139	8.800	15.80	İzmir'de ise Ege'ye yerleşen sıcak hava kütlesiyle birlikte 
259	160	11.360	14.08	Yarına baktığımızda İstanbul'da hava yine büyük ölçüde açık,
260	128	8.320	15.38	Ankara'da yarın da güneşli bir hava bekleniyor, yağış öngörü
261	96	5.760	16.67	İzmir'de yarın gökyüzü açık kalmaya devam ediyor, sıcaklık o
262	133	10.080	13.19	Meteoroloji, yarın için sıcaklığın mevsim normallerinin üzer
263	139	8.960	15.51	Rize ve Artvin kıyıları ile Kars ve Ardahan çevrelerinin de 
264	126	9.760	12.91	Yetkililer, aşırı sıcaklara karşı gün ortasında açık alanlar
265	33	2.720	12.13	Akşam bültenimizin sonuna geldik.
266	39	2.880	13.54	Gündemi sizin için Nöron değerlendirdi.
267	28	2.400	11.67	Bilgiyle kalın, hoşça kalın.
