sira	karakter	saniye	kar_sn	metin
74	39	2.720	14.34	Nabatiler bu bilgiyi tekele çevirdiler.
75	72	4.960	14.52	Geçiş güvenliği sattılar, gümrük aldılar, kendi kervanlarını
76	144	9.920	14.52	MÖ birinci yüzyıla gelindiğinde Petra, çölün ortasında bir k
77	118	8.320	14.18	MÖ otuz civarında, Tarsuslu filozof Athenodoros bu şehri ziy
78	182	12.160	14.97	Anlattıklarına göre Nabatilerde köle neredeyse yoktu, insanl
79	61	3.840	15.89	hatta zaman zaman halk önünde yönetiminin hesabını veriyordu
80	109	7.840	13.90	Ziyafetlerde kimse on bir kadehten fazla içmiyor, her kadeh 
81	16	2.240	7.14	Davalar nadirdi.
82	189	11.360	16.64	Şehirde çok sayıda yabancı oturuyordu ve Athenodoros'un dikk
83	45	4.000	11.25	Ama Petra'yı asıl ayakta tutan mühendislikti.
84	144	9.440	15.25	Şehir, yılda ortalama yüz elli milimetre civarında yağış ala
85	41	2.560	16.02	Nabatiler bu denklemi tersine çevirdiler.
86	121	8.480	14.27	Şehrin doğusundaki Ayn Musa, yani Musa Pınarı'ndan başlayan 
87	142	9.280	15.30	Hattın bir bölümü kayaya oyulmuş açık kanaldı, bir bölümü is
88	169	11.040	15.31	Boruların çapı ve eğimi, su borunun içini tamamen doldurmaya
89	89	5.920	15.03	Bu, on dokuzuncu yüzyıla kadar Avrupa'da yeniden keşfedilmey
90	97	6.400	15.16	Yarığın içinde iki ayrı iletim hattı birden vardı: biri kaya
91	49	3.040	16.12	Biri bakıma alındığında şehrin suyu kesilmiyordu.
92	24	1.600	15.00	Yağmuru da kaçırmadılar.
93	148	9.280	15.95	Yamaçlara yüzlerce sarnıç oydular, iç yüzeylerini geçirimsiz
94	196	12.640	15.51	Sele karşı ise savunma hattı kurdular: Yarığın ağzına bir be
95	71	4.800	14.79	Yani şehri besleyen suyla şehri yıkabilecek suyu birbirinden
96	79	5.120	15.43	Sonuç, çölün ortasında yirmi ile otuz bin arasında insanın y
97	169	10.880	15.53	Ve bu kentin merkezinde, kazılarda ortaya çıkarılan büyük bi
98	148	9.120	16.23	Suyun damlasının pazarlık konusu olduğu bir coğrafyada, bir 
99	81	5.280	15.34	Bütün bu ustalığı en gösterişli biçimde harcadıkları yer ise
100	11	1.120	9.82	Mezarlardı.
101	87	5.440	15.99	Petra'da sekiz yüzden fazla oyma yapı sayılmıştır ve bunları
102	139	9.280	14.98	Şehir, yaşayanların evlerinden çok ölülerin cepheleriyle tan
103	35	2.560	13.67	Kayanın içine oyulan ise kalıcıydı.
104	31	1.920	16.15	Hazine bu geleneğin zirvesidir.
105	125	7.520	16.62	otuz dokuz virgül beş metre yüksekliğindeki cephe, tek bir k
106	204	14.400	14.17	Bu, teknik olarak tersine bir inşaattır: iskeleyi tepeden ku
107	152	9.440	16.10	Alt katta altı sütun ve klasik bir alınlık; üst katta ortada
108	147	9.440	15.57	Kabartmalarda Mısır tanrıçası İsis'le özdeşleştirilen bir ka
109	81	4.800	16.88	İskenderiye'nin, Roma'nın ve Arabistan'ın tasarım dili aynı 
110	13	1.600	8.12	Peki içerisi?
111	25	1.920	13.02	İçerisi neredeyse boştur.
112	127	8.640	14.70	Cephenin ardında, duvarları düz ve süssüz, kabaca on iki met
113	93	6.080	15.30	Bu boşluk, yapının ne olduğunu ele verir: burası bir hazine 
114	32	2.080	15.38	İsim yanlış anlamadan doğmuştur.
115	106	6.560	16.16	Bölgede yüzyıllarca anlatılan hikâyeye göre, tepedeki taş va
116	124	8.000	15.50	Vazoyu kırıp altınları döksün diye ona kaç kez ateş edildiği
117	60	4.640	12.93	Vazo som kayadır; içinde hiçbir zaman hiçbir şey olmamıştır.
118	44	3.360	13.10	Asıl soru şudur: Bu mezar kimin için oyuldu?
119	21	1.760	11.93	Cephede yazıt yoktur.
120	98	6.400	15.31	Petra'daki bazı büyük mezarlarda sahibini bildiren Nabatice 
121	188	12.640	14.87	Arkeologların çoğunun bugün en güçlü aday olarak gördüğü isi
122	164	10.720	15.30	Onun döneminde Nabati krallığı en geniş sınırlarına ve en yü
123	49	3.360	14.58	Ama bu bir mahkeme kararı değil, bir olasılıktır.
124	102	6.880	14.83	Başka uzmanlar yapıyı daha erken bir döneme, MÖ birinci yüzy
125	103	6.880	14.97	Elimizde kesin olan tek şey, cephenin üslubunun ve işçiliğin
126	130	7.840	16.58	Bu belirsizliğin bir sebebi de, yirminci yüzyıl boyunca Hazi
127	79	5.440	14.52	Yüzyıllar boyunca vadiden inen seller Yarığın ağzına çakıl, 
128	121	7.680	15.76	Turistlerin fotoğraf çekmek için durduğu, develerin beklediğ
129	128	7.680	16.67	Yani bugün gördüğümüz otuz dokuz virgül beş metrelik cephe b
130	61	3.680	16.58	Bunu ilk kez somut olarak gösteren kazı iki bin üçte yapıldı
131	121	8.480	14.27	Hazine'nin sol yanında, bugünkü yüzeyin altı metreden fazla 
132	192	12.480	15.38	Kazıyı yürüten Ürdünlü arkeolog Süleyman Ferecat ve ekibi, i
133	120	7.520	15.96	Aynı kazıda, mezarların hizasında, Yarık'tan gelen antik yol
134	139	8.640	16.09	Tütsü kapları ve adak nitelikli eşyalar, buranın yalnızca bi
135	54	3.840	14.06	Bu kazı, Hazine hakkındaki bakışı sessizce değiştirdi.
136	86	5.600	15.36	Cephe artık tek başına duran bir heykel değil, gömülü bir ya
137	34	2.560	13.28	Ve akla yatkın bir soru doğuyordu.
138	86	6.080	14.14	Nabati mimarisi simetriye tutkundur; cephedeki her öge karşı
139	65	4.320	15.05	Meydanın bir yanında mezar odaları varsa, öteki yanında ne v
140	41	2.560	16.02	Bu soru yirmi yıl boyunca cevapsız kaldı.
141	114	6.560	17.38	Çünkü dünyanın en çok fotoğraflanan antik cephelerinden biri
142	40	3.200	12.50	İzni açan şey merak değil, tehlike oldu.
143	66	4.640	14.22	Petra'nın sel riski, şehri yöneten kurumların en ciddi başlı
144	158	10.240	15.43	Yarık bir huni gibi çalışır: yukarıdaki geniş havzaya düşen 
145	69	4.480	15.40	iki bin yirmi dörtte bu meydanda taşkın kontrolü çalışması p
146	94	6.080	15.46	Kural gereği, kazmanın gireceği her yerde önce arkeolojik de
147	107	7.200	14.86	Bu değerlendirme için İskoçya'daki St Andrews Üniversitesi'n
148	105	6.560	16.01	Kullandıkları yöntemler toprağa dokunmuyordu: yere nüfuz ede
149	149	9.440	15.78	İkisi de aynı mantıkla çalışır; zemine bir sinyal gönderirsi
150	92	5.120	17.97	Meydanın altından gelen veri, dolgunun içinde düzgün hatlı b
151	42	3.200	13.12	Doğal bir çatlak böyle dik köşeler yapmaz.
152	158	10.240	15.43	Kazı iki bin yirmi dört yazında, Ürdün Eski Eserler Genel Mü
153	150	9.440	15.89	Merkezin başındaki arkeolog Pearce Paul Creasman çalışmayı y
154	158	10.080	15.67	Masrafın bir bölümünü, kazıyı görüntülemek isteyen bir belge
155	111	7.040	15.77	Çalışma, dünyanın en kalabalık arkeolojik alanlarından birin
156	36	2.560	14.06	Metrelerce dolgu elenerek indirildi.
157	80	4.960	16.13	Ve dolgunun altında, radarın işaret ettiği yerde, ağzı kapan
158	42	3.040	13.82	Odanın içinde on iki insan iskeleti vardı.
159	31	2.720	11.40	Kadınlar, erkekler ve çocuklar.
160	69	4.800	14.38	Yanlarında bronz, demir ve pişmiş topraktan mezar eşyaları d
161	137	9.120	15.02	İskeletlerden biri, göğsünün üzerinde kırık bir seramik kabı
162	205	13.760	14.90	Kadehi andıran bu parça haberlerde hemen popüler bir benzetm
163	29	2.080	13.94	tam da üstlerindeki cepheydi.
164	128	8.800	14.55	Filmde kâse hayaldi; buradaki kap gerçekti ve büyük ihtimall
165	72	4.640	15.52	Bulgunun asıl önemi kabın biçiminde değil, iskeletlerin bütü
166	169	10.400	16.25	Petra'da yüzlerce mezar odası vardır, ama bunların hemen hep
167	74	4.960	14.92	İçlerinden çıkan insan kalıntıları genellikle dağınık ve par
168	82	5.600	14.64	Erken Nabati dönemine ait, yerinde ve bütün hâlde gömü bulma
169	135	9.120	14.80	Araştırmacıların uluslararası önemde dedikleri şey buydu: on
170	38	2.560	14.84	Tarihlendirme için iki yol kullanıldı.
171	173	11.840	14.61	Bir yanda eşyaların üslubu ve seramik tipolojisi; öte yanda,
172	116	8.000	14.50	Odanın duvar örgüsüyle ilişkili tortular MÖ birinci yüzyılın
173	142	9.120	15.57	Bu aralık, Nabati krallığının yükseliş ve doruk dönemini büt
174	30	2.240	13.39	Kim oldukları hâlâ bilinmiyor.
175	216	13.280	16.27	Yanıtı verecek çalışmalar ise başlamış durumda: iskeletler l
176	111	6.880	16.13	Eğer bu on iki kişinin birbiriyle kan bağı olduğu çıkarsa, H
177	118	7.520	15.69	Eğer izotoplar bu insanların çocukluklarını Petra'dan çok uz
178	21	1.440	14.58	Bir ayrıntı daha var.
179	109	6.400	17.03	Kazı sırasında yapılan yeni ölçümler, meydanın altında daha 
180	57	4.000	14.25	Yani bu oda, Hazine'nin altındaki en son sır olmayabilir.
181	191	12.480	15.30	Creasman'ın kazıdan sonra söylediği cümle, iki yüz yıllık ar
182	111	7.520	14.76	Petra'yı kuran şey suydu; dağıtan şey de suyla, yerin sarsın
183	22	1.760	12.50	İlk darbe sessiz oldu.
184	103	6.880	14.97	MS yüz altıda Roma, Nabati krallığını savaşsız biçimde ilhak
185	83	5.920	14.02	Şehir hemen çökmedi; aksine Romalılar buraya sütunlu cadde, 
186	117	7.360	15.90	Ama Petra'nın gücü bir coğrafi zorunluluktan geliyordu: buhu
187	74	4.320	17.13	Roma barışı ve gelişen deniz taşımacılığı bu zorunluluğu ort
188	86	5.920	14.53	Kızıldeniz limanlarından gemiyle taşınan yük, deve sırtındak
189	42	2.880	14.58	Kuzeyde başka kervan merkezleri öne çıktı.
190	58	4.160	13.94	Petra kâr merkezi olmaktan çıkıp taşra kenti hâline geldi.
191	19	1.760	10.80	Sonra yer sarsıldı.
192	149	8.960	16.63	on dokuz Mayıs üç yüz altmış üçte bölgeyi vuran büyük deprem
193	33	2.400	13.75	Yıkılan yalnızca binalar değildi.
194	92	6.240	14.74	Yüzlerce yıllık su sistemi, yani kanallar, borular ve sarnıç
195	112	6.880	16.28	Bu sistem sürekli bakım isteyen, ustalık gerektiren ve ancak
196	48	3.360	14.29	Kervanlar azaldıkça onu onaracak para da azaldı.
197	192	12.160	15.79	Beşinci ve altıncı yüzyıllarda Petra bir piskoposluk merkezi
198	184	12.000	15.33	O dönemden bize kalan en şaşırtıcı belge bin dokuz yüz doksa
199	131	8.480	15.45	Bugün yüz kırk kadar tomar tanımlanmış durumda ve bunlar, Ob
200	142	9.760	14.55	İçindekiler destan değil, hayattır: tapu kayıtları, miras pa
201	86	5.760	14.93	Belgelerin tarihleri kabaca beş yüz otuz yedi ile beş yüz do
202	111	6.880	16.13	Yani Burkhart'ın "kayıp şehir" dediği yerde, o yıllarda insa
203	66	4.480	14.73	Son vuruşlar altıncı ve sekizinci yüzyıllardaki depremlerle 
204	168	10.400	16.15	beş yüz elli birdeki sarsıntı yerleşimi ve onarılabilmiş su 
205	76	4.960	15.32	Petra bir şehir olmaktan çıkıp bir köye, sonra bir konaklama
206	94	5.920	15.88	On ikinci yüzyılda Haçlılar çevredeki tepelere iki küçük kal
207	76	5.440	13.97	Geriye kayalar, mağaralar ve onları ev olarak kullanan Bedev
208	38	2.880	13.19	Şehir terk edilmedi; ölçek değiştirdi.
209	80	5.120	15.62	Bir imparatorluk başkentini taşıyan vadi, birkaç yüz kişiyi 
210	108	6.880	15.70	Bugün Petra, bin dokuz yüz seksen beşten beri Dünya Mirası l
211	183	11.520	15.89	Uzun süre mağaralarda yaşayan Bedevi topluluk, alanın koruma
212	162	10.880	14.89	Vadinin üzerinde sel sirenleri var: bin dokuz yüz altmış üçt
213	72	4.800	15.00	o gün kapalı kanyonda su seviyesinin on metreye ulaştığı hes
214	41	2.880	14.24	Bugün yağış uyarısında alan boşaltılıyor.
215	82	5.920	13.85	Nabatilerin iki bin yıl önce çözdüğü sorun, hâlâ aynı yerde,
216	75	5.440	13.79	iki bin yirmi dörtteki odanın hikâyesinde asıl sarsıcı olan 
217	66	4.320	15.28	O on iki kişiyi bizden gizleyen şey, onları koruyan şeyle ay
218	205	13.760	14.90	Yüzyıllar boyunca vadiden inen her sel, Hazine'nin önüne bir
219	40	3.200	12.50	Şehri yıkan su, onun kanıtını mühürledi.
220	89	5.600	15.89	Ve kazı, tam da yeni bir selin aynı meydanı vurmasını önleme
221	19	1.280	14.84	Bu iş bitmiş değil.
222	149	9.440	15.78	Arkeologların tahminine göre Petra'nın yüzde seksen beşi hâl
223	81	5.600	14.46	şehrin güneyinde daha önce fark edilmemiş devasa bir anıtsal
224	77	4.480	17.19	Radar, Hazine'nin meydanının altında daha derin izler olabil
225	50	4.000	12.50	Ve elimizde, adı sanı bilinmeyen on iki insan var.
226	211	13.120	16.08	Kemikleri bugün bir laboratuvarda, kendilerini gömen insanla
227	93	5.920	15.71	Dünyanın en çok fotoğraflanan cephelerinden birinin önünde h
228	140	8.960	15.62	Petra'nın en açık sırrı şudur: o cephenin kime ait olduğunu 
229	49	3.040	16.12	Nöron Arkeoloji'de bugünkü bölümün sonuna geldik.
230	41	2.560	16.02	Yeni bir hikâyede yeniden buluşmak üzere.
